key,prompt
1,"A young Caucasian woman with curly blonde hair laughing, standing in a sunflower field, full body"
2,"An African girl with braided black hair holding a sketchbook, semi-realistic style, half-body portrait"
3,"Middle-aged Latina woman with gray streaks in dark hair meditating under cherry blossoms, full figure"
4,"Two teenage Southeast Asian girls with identical wavy haircuts playing leapfrog on a beach, dynamic pose"
5,"Elderly woman with silver pixie cut feeding pigeons in urban park, full body perspective"
6,"Redheaded woman with freckled complexion painting at easel, golden hour lighting, mid-shot"
7,"South Asian girl with double braids jumping through autumn leaves, action shot, full length"
8,"Young African woman with shaved head dancing in rainstorm, water droplets visible, full figure"
9,"Nordic girl with platinum ponytail ice skating on frozen lake, dynamic movement capture"
10,"Middle-Eastern woman with henna-tinted hair reading under ancient oak tree, soft focus"
11,"A pregnant Caucasian woman with auburn bob haircut tending garden, side profile view"
12,East Asian girl with asymmetrical purple streaks in black hair playing electric guitar
13,"Two mixed-race women laughing while building sandcastles, ocean waves in background"
14,"Indigenous woman with long jet-black hair rowing canoe at sunrise, full body composition"
15,"Young girl with albino features blowing dandelion seeds in meadow, close-up shot"
16,"African woman with geometric hair patterns holding infant, warm golden tones"
17,"South American girl with wild curly hair surrounded by tropical birds, vibrant colors"
18,"Middle-aged woman with salt-and-pepper bun knitting by fireplace, cozy atmosphere"
19,"Scandinavian girl with wavy strawberry-blonde hair collecting seashells, low-angle view"
20,"Two teenage girls - one Hispanic, one Asian - having pillow fight, motion blur effect"
21,"Elderly Japanese woman with white perm feeding koi fish, traditional garden setting"
22,"Young woman with vitiligo patterns watering plants in greenhouse, natural lighting"
23,"Black girl with afro puff hairstyle blowing bubblegum, colorful bokeh background"
24,Middle-Eastern woman with intricate henna tattoos practicing yoga at dawn
25,"Redheaded girl with space buns staring at starry night sky, celestial backdrop"
26,"Plus-size woman with chestnut curls laughing while baking, kitchen environment"
27,"Native American girl with braided hair riding horse through prairie, wide shot"
28,"Two women - one blonde, one brunette - arm wrestling in gym, competitive expressions"
29,"South Asian woman with oiled plaits grinding spices, traditional kitchen setting"
30,"Teen girl with undercut hairstyle skateboarding down urban alleyway, graffiti walls"
31,"Aging woman with gray pixie cut releasing paper lanterns, twilight atmosphere"
32,"Mixed-race girl with springy coils drinking lemonade on porch swing, summer vibes"
33,"Nordic woman with fishtail braid collecting firewood in snowscape, breath visible"
34,Two Asian girls - one with pink highlights - playing traditional board game
35,"African woman with beaded cornrows carrying water jug, savanna landscape"
36,"Latina girl with flower crown making pottery, clay-smeared hands visible"
37,"Middle-aged woman with highlighted layers gardening in greenhouse, sunhat shadow"
38,Pale-skinned girl with electric blue dip-dyed hair playing arcade games
39,Indigenous Australian woman with curly gray hair telling stories by campfire
40,Two teenage girls - Black and Caucasian - doing synchronized backflips
41,"East Asian woman with blunt bangs practicing calligraphy, ink splatter details"
42,Young mother with messy bun pushing stroller through autumn park leaves
43,"South Asian girl with oiled braid jumping into swimming hole, water splash"
44,"Elderly woman with perm blowing on dandelion clock, shallow depth of field"
45,"Alternative girl with shaved sides and tattoos climbing rock wall, determined look"
46,"Two women - one ginger, one brunette - building igloo in arctic landscape"
47,"Middle-Eastern girl with hijab adjusting telescope, starry night background"
48,African-American woman with box braids doing handstand on city rooftop
49,Nordic girl with milkmaid braids milking goat in pastoral setting
50,"Young woman with birthmark covering half face smelling roses, close-up"
51,"Two elderly Asian women practicing tai chi in bamboo forest, misty morning"
52,"Latina girl with rainbow hair streaks juggling fire batons, night scene"
53,"Indigenous woman with silver hair ornaments harvesting corn, golden fields"
54,"Teen girl with space buns catching fireflies in mason jar, twilight glow"
55,South Asian woman with jasmine flowers in hair lighting diya lamps
56,Black girl with Bantu knots laughing while covered in finger paint
57,Two sisters - one with albinism - building sandcastle on beach
58,Middle-aged woman with gray roots visible blowing soap bubbles
59,"East Asian girl with hime cut arranging origami cranes, paper scattered"
60,"Punk girl with neon green mohawk spray-painting mural, urban backdrop"
61,"Indigenous woman with traditional face paint grinding corn, clay pots"
62,Two women - one pregnant - planting trees in reforestation project
63,"African girl with beaded hair extensions playing marimba, vibrant energy"
64,Elderly Caucasian woman with perm feeding stray cats in alleyway
65,South American girl with wildflower crown chasing butterflies
66,Middle-Eastern woman with kohl-rimmed eyes mixing spices in mortar
67,Teen girl with box braids doing math equations on blackboard
68,Nordic woman with Viking-style braids forging metal in workshop
69,"Two girls - one in wheelchair - playing chess in park, autumn leaves"
70,East Asian woman with layered bob haircut practicing tea ceremony
71,"Young mother with frizzy hair kissing baby's forehead, soft focus"
72,African girl with star-shaped hair patterns stargazing through telescope
73,"Indigenous woman with gray streaks making dreamcatcher, feathers"
74,Two women - identical twins - mirroring poses in dance studio
75,South Asian girl with oiled braid drawing kolam patterns with rice flour
76,Alternative woman with facial piercings tending bonsai tree collection
77,Elderly Black woman with silver locs shelling peas on porch swing
78,Teen girl with dip-dyed tips playing violin in empty concert hall
79,Middle-Eastern woman with hennaed hands kneading bread dough
80,"Two girls - one Asian, one Latina - conducting science experiment"
81,Nordic woman with flower crown leading reindeer through snow
82,South American girl with wild curls panning for gold in river
83,African woman with tribal scars smiling while carving wooden statue
84,Two elderly women - Asian and Caucasian - playing mahjong
85,Alternative girl with split-dyed hair feeding rescued owls
86,Indigenous woman with traditional jewelry weaving basket
87,Middle-aged woman with beach waves photographing sunset
88,Two girls - Black twins - doing acrobatic yoga poses
89,South Asian woman with jasmine garland selling spices at market
90,Young mother with messy ponytail teaching toddler to walk
91,East Asian girl with hime cut releasing paper boat in stream
92,Punk woman with facial tattoos welding metal sculpture
93,Two women - one with vitiligo - mixing paints in art studio
94,Native American girl with braids tracking animal footprints
95,Middle-Eastern woman with kohl eyes reading ancient scroll
96,Elderly sisters - identical twins - baking pie together
97,African girl with beaded hair jumping rope in dusty village
98,Nordic woman with rune tattoos carving wood by bonfire
99,"Two girls - one blonde, one brunette - fossil hunting"
100,Indigenous woman with silver hair making pottery
